ACCESSION_NUMBER	HOLDING_ID	ISSUER_NAME	ISSUER_LEI	ISSUER_TITLE	ISSUER_CUSIP	BALANCE	UNIT	OTHER_UNIT_DESC	CURRENCY_CODE	CURRENCY_VALUE	EXCHANGE_RATE	PERCENTAGE	PAYOFF_PROFILE	ASSET_CAT	OTHER_ASSET	ISSUER_TYPE	OTHER_ISSUER	INVESTMENT_COUNTRY	IS_RESTRICTED_SECURITY	FAIR_VALUE_LEVEL	DERIVATIVE_CAT	PRICE_PER_UNIT
0001752724-20-040307	21069265	Akebia Therapeutics Inc	549300CBQEHMKEEGNX42	Akebia Therapeutics Inc	00972D105	1056483	NS		USD	6676972.56		.154275265368	Long	EC		CORP		US	N	1		6.320000
0001752724-20-040307	21069267	Heron Therapeutics Inc	549300DR2I1DOPD2IX53	Heron Therapeutics Inc	427746102	1640043	NS		USD	38541010.5		.890512065018	Long	EC		CORP		US	N	1		23.500000
0001752724-20-040307	21069328	Audentes Therapeutics Inc	549300PZYT0QC9UNJF13	Audentes Therapeutics Inc	05070R104	401020	NS		USD	23997036.8		.554465244108	Long	EC		CORP		US	N	1		59.840000
0001752724-20-040307	21069270	Deciphera Pharmaceuticals Inc	529900QR4WAPYY0CBF25	Deciphera Pharmaceuticals Inc	24344T101	617920	NS		USD	38459340.8		.888625039944	Long	EC		CORP		US	N	1		62.240000
0001752724-20-040307	21069330	Vericel Corp	54930076YM3PLTDR4B91	Vericel Corp	92346J108	815719	NS		USD	14193510.6		.327949170773	Long	EC		CORP		US	N	1		17.400000
0001752724-20-040307	21069274	MacroGenics Inc	5493001KJQUA83L8MH79	MacroGenics Inc	556099109	923863	NS		USD	10051629.44		.232248640429	Long	EC		CORP		US	N	1		10.880000
0001752724-20-040307	21069277	Sage Therapeutics Inc	5493000JX4BJS9W6CN35	Sage Therapeutics Inc	78667J108	995590	NS		USD	71871642.1		1.660635349006	Long	EC		CORP		US	N	1		72.190000
0001752724-20-040307	21069332	Achillion Pharmaceuticals Inc	529900LZPJ796VSWZM38	Achillion Pharmaceuticals Inc	00448Q201	2226706	NS		USD	13427037.18		.310239364539	Long	EC		CORP		US	N	1		6.030000
0001752724-20-040307	21069281	State Street Global Advisors	5493000HFJPORCLSV250	State Street Institutional Liquid Reserves Fund	85749P101	2410901.88	NS		USD	2411142.97		.055710835741	Long	STIV		RF		US	N	1		1.000100
0001752724-20-040307	21069286	Ultragenyx Pharmaceutical Inc	529900EV44GVDN1DCX77	Ultragenyx Pharmaceutical Inc	90400D108	1052675	NS		USD	44959749.25		1.038820690685	Long	EC		CORP		US	N	1		42.710000
