ACCESSION_NUMBER	HOLDING_ID	ISSUER_NAME	ISSUER_LEI	ISSUER_TITLE	ISSUER_CUSIP	BALANCE	UNIT	OTHER_UNIT_DESC	CURRENCY_CODE	CURRENCY_VALUE	EXCHANGE_RATE	PERCENTAGE	PAYOFF_PROFILE	ASSET_CAT	OTHER_ASSET	ISSUER_TYPE	OTHER_ISSUER	INVESTMENT_COUNTRY	IS_RESTRICTED_SECURITY	FAIR_VALUE_LEVEL	DERIVATIVE_CAT	PRICE_PER_UNIT
0001752724-20-040307	21068932	Rocket Pharmaceuticals Inc	549300R7VV82YUIN4Y93	Rocket Pharmaceuticals Inc	77313F106	291914	NS		USD	6643962.64		.153512552309	Long	EC		CORP		US	N	1		22.760000
0001752724-20-040307	21068937	Principia Biopharma Inc	549300WHPKRLU16IRE69	Principia Biopharma Inc	74257L108	246976	NS		USD	13529345.28		.312603251636	Long	EC		CORP		US	N	1		54.780000
0001752724-20-040307	21068942	Emergent BioSolutions Inc	549300YW6TUOX8BE5103	Emergent BioSolutions Inc	29089Q105	732318	NS		USD	39508556.1		.912867758838	Long	EC		CORP		US	N	1		53.950000
0001752724-20-040307	21068944	Intellia Therapeutics Inc	5493002T5BCPE5DZC723	Intellia Therapeutics Inc	45826J105	841239	NS		USD	12340976.13		.285145303542	Long	EC		CORP		US	N	1		14.670000
0001752724-20-040307	21068950	Intrexon Corp	549300XCWNQU35K64G19	Intrexon Corp	46122T102	2127139	NS		USD	11656721.72		.269335214504	Long	EC		CORP		US	N	1		5.480000
0001752724-20-040307	21068951	Moderna Inc	549300EI6OKH5K5Q2G38	Moderna Inc	60770K107	3009634	NS		USD	58868441.04		1.360188960145	Long	EC		CORP		US	N	1		19.560000
0001752724-20-040307	21068955	Coherus Biosciences Inc	5493007IL8W5MV932D26	Coherus Biosciences Inc	19249H103	2180456	NS		USD	39259110.28		.907104170665	Long	EC		CORP		US	N	1		18.005000
0001752724-20-040307	21068975	Dynavax Technologies Corp	549300T5URIXWDILX594	Dynavax Technologies Corp	268158201	1655298	NS		USD	9468304.56		.218770585839	Long	EC		CORP		US	N	1		5.720000
0001752724-20-040307	21068985	BioMarin Pharmaceutical Inc	NSLL8ITTRR0J5HEMR848	BioMarin Pharmaceutical Inc	09061G101	904971	NS		USD	76515298.05		1.767929672523	Long	EC		CORP		US	N	1		84.550000
0001752724-20-040307	21068956	Invitae Corp	549300MYI59DZW1WIX92	Invitae Corp	46185L103	4205314	NS		USD	67831714.82		1.567290521302	Long	EC		CORP		US	N	1		16.130000
0001752724-20-040307	21068987	Vertex Pharmaceuticals Inc	54930015RAQRRZ5ZGJ91	Vertex Pharmaceuticals Inc	92532F100	331333	NS		USD	72545360.35		1.676201994049	Long	EC		CORP		US	N	1		218.950000
0001752724-20-040307	21068962	Progenics Pharmaceuticals Inc	5299005B0KKBVJ0B2156	Progenics Pharmaceuticals Inc	743187106	1842032	NS		USD	9375942.88		.216636516459	Long	EC		CORP		US	N	1		5.090000
0001752724-20-040307	21068990	Global Blood Therapeutics Inc	549300U4G0QKK99GRT15	Global Blood Therapeutics Inc	37890U108	943665	NS		USD	75011930.85		1.733193514535	Long	EC		CORP		US	N	1		79.490000
0001752724-20-040307	21068996	Akcea Therapeutics Inc	5299005MBXDP2HBTJY60	Akcea Therapeutics Inc	00972L107	394994	NS		USD	6691198.36		.154603960604	Long	EC		CORP		US	N	1		16.940000
0001752724-20-040307	21068999	Voyager Therapeutics Inc	54930082S4XVR0ZWCC74	Voyager Therapeutics Inc	92915B106	811451	NS		USD	11319741.45		.261549092858	Long	EC		CORP		US	N	1		13.950000
0001752724-20-040307	21069004	Madrigal Pharmaceuticals Inc	549300CHIMT2EUSNJB60	Madrigal Pharmaceuticals Inc	558868105	289968	NS		USD	26418984.48		.610425728847	Long	EC		CORP		US	N	1		91.110000
0001752724-20-040307	21069006	AnaptysBio Inc	529900HH4WQT03IG1A12	AnaptysBio Inc	032724106	1411066	NS		USD	22929822.5		.529806648037	Long	EC		CORP		US	N	1		16.250000
