ticker	sponsor_name	nct_id	phase	overall_status	brief_title	study_first_submitted_date	start_date	intervention_type	intervention_name	conditions	data_source	drug_chembl_id	target_chembl_id	action_type	target_name	gene_symbol	target_type
ABBV	AbbVie	NCT03138408	PHASE1	TERMINATED	SC-004 Alone or With ABBV-181 in Subjects With Epithelial Ovarian, Fallopian Tube, Primary Peritoneal and Endometrial Cancers	2017-05-01	2017-06-14	DRUG	ABBV-181	Cancer	AACT/ClinicalTrials.gov		CHEMBL4801	INHIBITOR	Programmed cell death protein 1 (PD-1/PDCD1)	PDCD1	single_protein
ABBV	AbbVie	NCT02365662	PHASE1	TERMINATED	A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor	2015-02-05	2015-01-09	DRUG	ABBV-221	Colorectal Carcinoma | Glioblastoma Multiforme | Head and Neck Squamous Cell Carcinoma | Non-small Cell Lung Cancer | Triple Negative Breast Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02531178	PHASE1	COMPLETED	A Study to Assess the Safety, Tolerability and Pharmacokinetics of Multiple Subcutaneous Injections of ABBV-257 in Subjects With Rheumatoid Arthritis	2015-07-14	2015-07-31	BIOLOGICAL	ABBV-257	Rheumatoid Arthritis	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03234712	PHASE1	COMPLETED	A Study Evaluating the Safety, Pharmacokinetics, and Anti-tumor Activity of ABBV-321 in Subjects With Advanced Solid Tumors Associated With Overexpression of the Epidermal Growth Factor Receptor (EGFR)	2017-07-27	2017-10-10	DRUG	ABBV-321	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT04196283	PHASE1	COMPLETED	A Study to Determine the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of ABBV-368 Plus Tilsotolimod and Other Therapy Combinations in Participants With Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma	2019-12-06	2020-01-22	DRUG	ABBV-368	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03893955	PHASE1	ACTIVE_NOT_RECRUITING	A Study to Determine the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of ABBV-927 With ABBV-368, Budigalimab (ABBV-181) and/or Chemotherapy in Participants With Locally Advanced or Metastatic Solid Tumors	2019-03-27	2019-05-21	DRUG	ABBV-368	Advanced Solid Tumors | Cancer | Metastatic Solid Tumors | Non-small-cell-lung-cancer (NSCLC) | Triple-Negative Breast Cancer (TNBC)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03818542	PHASE1	TERMINATED	A Study to Assess the Effects of Multiple Study Drug Regimens in Subjects With Newly Diagnosed Locally Advanced Head and Neck Squamous Cell Carcinoma	2019-01-24	2020-01-22	DRUG	ABBV-368	Head and Neck Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03071757	PHASE1	COMPLETED	A Study of the Safety, Tolerability and Pharmacokinetics of ABBV-368 as a Single Agent and Combination in Subjects With Locally Advanced or Metastatic Solid Tumors	2017-03-02	2017-03-21	DRUG	ABBV-368	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03311477	PHASE1	COMPLETED	A Study to Evaluate the Safety and Pharmacokinetics ABBV-399 in Japanese Participants With Solid Tumors	2017-10-12	2017-11-06	DRUG	ABBV-399	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02955251	PHASE1	COMPLETED	A Study of ABBV-428, an Immunotherapy, in Subjects With Advanced Solid Tumors	2016-11-02	2016-11-18	DRUG	ABBV-428	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
