ticker	company	was_in_xbi_jan2020	company_type	drug_name	chembl_id	target_gene	gene_source	indication	ensembl_id	efo_id	n_scoreable_pairs	n_gs_pairs	best_genetic_assoc_score	n_confirmed_pairs	n_confirmed_gs_pairs	best_confirmed_score	lead_phase	lead_score	lead_gene	lead_efo_id	lead_conditions	lead_ot_source	lead_evidence_predates	lead_confirmed_pre_2020	lead_validation_method	best_pair_ga_score	ot_score_source_best	ot_score_sources_all	evidence_predates_2020	genetic_datasources	is_gs	is_gs_at_0_10	is_gs_at_0_50	is_gs_at_0_80	is_gs_at_0_95	mendelian_only_gs	return_total_pct	price_start	price_end	date_start	date_end	return_source	return_estimated	outcome	acquirer	is_oncology_primary	has_combination_rows	pipeline_source
IRWD	Ironwood Pharmaceuticals Inc	True	biotech	colchicine	CHEMBL107	TUBA1B	chembl	Chronic Kidney Disease (CKD) | Gout	ENSG00000123416	EFO_0003884	1	1	0.607931	0	0									False		0.607931	ot_recent_fallback	ot_recent_fallback	True	genomics_england,eva	False	False	False	False	False	False	-70.14	13.26	3.96	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
KDMN	Kadmon Holdings Inc	True	biotech	Tesevatinib	CHEMBL1236924	EGFR	chembl	ADPKD | Autosomal Dominant Polycystic Kidney	ENSG00000146648	EFO_0008620	8	8	0.990562	4	4	0.983426	PHASE2	0.983426	EGFR	EFO_0000519	Brain Tumor | Glioblastoma | Recurrent Glioblastoma	ot_2020	True	True	tier1_ot2020	0.990562	ot_recent_fallback	ot_2020,ot_recent_fallback	uncertain	gene_burden,eva,genomics_england,gene2phenotype	True	True	True	True	True	True	171.4			2020-01-02		manual_research	True	acquired	Sanofi ($9.50/sh, Oct 2021)	False	True	ctgov
KOD	Kodiak Sciences Inc	True	biotech	Aflibercept	CHEMBL1162561	VEGFA	chembl	Diabetic Macular Edema | Retinal Vein Occlusion | Wet Age-related Macular Degeneration	ENSG00000112715	EFO_0009047	0	0		0	0									False							False	False	False	False	False	False	-62.9	68.14	25.28	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
KPTI	Karyopharm Therapeutics Inc	True	biotech	Selinexor	CHEMBL3545185	XPO1	chembl	Endometrial Cancer	ENSG00000082898	MONDO_0011962	7	7	0.982855	1	1	0.896514	PHASE1/PHASE2	0.896514	TUBB1	EFO_0001378	Multiple Myeloma	ot_recent_fallback	True	True	bq_ancestor	0.982855	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,genomics_england,uniprot_literature,uniprot_variants,eva	True	True	True	True	False	True	-96.56	280.8	9.67	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
KRTX	Karuna Therapeutics Inc	True	biotech	Trospium chloride			missing	Schizophrenia		MONDO_0005090	0	0		0	0									False							False	False	False	False	False	False	227.4			2020-01-02		manual_research	True	acquired	Bristol Myers Squibb ($14B, Mar 2024)	False	True	ctgov
KRYS	Krystal Biotech Inc	True	biotech	KB105			missing	TGM-1 Related Autosomal Recessive Congenital Ichthyosis			0	0		0	0									False							False	False	False	False	False	False	359.38	56.99	261.8	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
KURA	Kura Oncology Inc	True	biotech	Tipifarnib	CHEMBL28	FNTB	chembl	Myelodysplastic Syndromes	ENSG00000257365	EFO_0000198	2	2	0.759913	0	0									False		0.759913	ot_recent_fallback	ot_recent_fallback	True	genomics_england	False	False	False	False	False	False	-39.74	14.04	8.46	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
LGND	Ligand Pharmaceuticals Inc	True	biotech	LGD-6972			missing	Type 2 Diabetes Mellitus		MONDO_0005148	0	0		0	0									False							False	False	False	False	False	False	181.57	65.34	183.98	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
MDCO	Medicines Co/The	True	biotech	Inclisiran	CHEMBL1464	PCSK9	chembl	Elevated Cholesterol | Heterozygous Familial Hypercholesterolemia	ENSG00000169174	EFO_0004911	3	3	1.0	3	3	1.0	PHASE4	0.731806	VKORC1	EFO_0000618	Acute Bacterial Skin and Skin Structure Infection	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_2020	True	uniprot_literature,genomics_england,eva,uniprot	True	True	True	False	False	True	1.8			2020-01-02		manual_research	True	acquired	Novartis ($85/sh, Jan 2020)	False	True	ctgov,monogenic_causal
MDGL	Madrigal Pharmaceuticals Inc	True	biotech	MGL-3196	CHEMBL4297647	THRB	chembl	Healthy	ENSG00000151090	EFO_1001249	0	0		0	0									False							False	False	False	False	False	False	379.72	90.68	435.01	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
MGNX	MacroGenics Inc	True	biotech	Margetuximab	CHEMBL2364649	ERBB2	chembl	HER-2 Positive Breast Cancer | Metastatic Neoplasm	ENSG00000141736	EFO_0000305	5	4	0.981276	3	2	0.7	PHASE2/PHASE3	0.7	ERBB2	EFO_0000178	Gastric Cancer | Gastroesophageal Junction Cancer | HER2-positive Gastric Cancer	ot_2020	True	True	tier1_ot2020	0.981276	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	gene_burden,genomics_england,eva,uniprot_variants,uniprot_literature	True	True	True	False	False	True	-84.23	10.78	1.7	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
MNTA	Momenta Pharmaceuticals Inc	True	biotech	EU-Sourced Orencia®			missing	Healthy Volunteers			0	0		0	0									False							False	False	False	False	False	False	109.3			2020-01-02		manual_research	True	acquired	Johnson & Johnson ($6.5B, Aug 2020)	False	True	ctgov
MRNA	Moderna Inc	True	biotech	Durvalumab	CHEMBL3301587	CD274	missing	Dose Escalation: Relapsed/Refractory Solid Tumor Malignancies or Lymphoma | Dose Expansion: Triple Negative Breast Cance	ENSG00000120217	EFO_0000616	0	0		0	0									False							False	False	False	False	False	False	159.33	19.23	49.87	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
MRTX	Mirati Therapeutics Inc	True	biotech	Afatinib	CHEMBL1173655	EGFR	chembl	Advanced Cancer | Malignant Neoplastic Disease | Metastatic Cancer	ENSG00000146648	MONDO_0004992	9	9	0.978601	8	8	0.978601	PHASE3	0.805643	MET	EFO_0003060	Metastatic Non-Squamous Non-Small Cell Lung Cancer	ot_recent_fallback	True	True	bq_ancestor	0.978601	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	gene_burden,gene2phenotype,eva	True	True	True	True	False	True	-47.3			2020-01-02		manual_research	True	acquired	Bristol Myers Squibb ($4.8B, Jan 2024)	True	True	ctgov
